Title;Category;Subcategory;Class;IT Application Technology;IT Management & Support Processes;IT External Supply Chain;IT Engineering;IT Internal Supply Chain;IT Desktop Mgmt. & Support;IT Data Center;IT Network & Communication;IT Cross-functional solutions;IT PMO Operational;IT Processes & Rules;Local Infr. / Apps ME;Local Infr. / Apps EE;Local Infr. / Apps SE;Local Infr. / Apps KANA;IT Global Applications SE;IT Global Applications EE;IT Global Applications ME;IT Global Application KANA;AITS Support (external);LOB;LOB Comment;Useful links & Comments;Item Type;Path
MS-Teams;Collaboration Applications;MS-Teams;Application;-;-;-;-;-;I;R;-;-;-;-;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
O365;Collaboration Applications;O365;Application;-;R;-;-;-;I;-;-;-;-;-;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Sharepoint Basicadminstration;Collaboration Applications;Sharepoint Basicadminstration;Application;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Sharepoint development and processes;Collaboration Applications;Sharepoint development and processes;Application;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Skype/Lync;Collaboration Applications;Skype/Lync;Application;-;-;-;-;-;C;A;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
CAx (Catia/NX/Visi);Engineering Applications;CAx (Catia/NX/Visi);Application;-;-;-;A;-;-;-;-;-;-;-;S;S;S;S;-;-;-;-;-;R;CAD;;Element;IT/Lists/RASCI  POC
CES (Calculation);Engineering Applications;CES (Calculation);Application;S;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Cimatron;Engineering Applications;Cimatron;Application;-;-;-;I;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A;Process Development;;Element;IT/Lists/RASCI  POC
CimDatabase Converter;Engineering Applications;CimDatabase  Converter;Application;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
CimDataBase App - CDB;Engineering Applications;CimDataBase App - CDB;Application;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;R;;;Element;IT/Lists/RASCI  POC
ECN - Engineering Change Notification;Engineering Applications;ECN - Engineering Change Notification;Application;R;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
IdeaFox;Engineering Applications;IdeaFox;Application;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
Licensemanager CAX;Engineering Applications;Licensemanager CAX;Application;-;-;-;A;-;-;-;-;-;-;-;-;S;-;S;C;C;C;-;-;S;CAD;;Element;IT/Lists/RASCI  POC
PBS/Pamstamp (Head Node);Engineering Applications;PBS/Pamstamp (Head Node);Application;-;-;-;A;-;-;R;-;-;-;-;-;-;-;-;-;I;I;-;-;-;;;Element;IT/Lists/RASCI  POC
PBS/Pamstamp (Node);Engineering Applications;PBS/Pamstamp (Node);Application;-;-;-;A;-;-;R;-;-;-;-;-;-;-;-;-;I;I;-;-;-;;;Element;IT/Lists/RASCI  POC
Spinfire (Viewer);Engineering Applications;Spinfire (Viewer);Application;-;-;-;A;-;-;-;-;-;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Teamcenter (Siemens);Engineering Applications;Teamcenter (Siemens);Application;-;-;-;I;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A;CAD;;Element;IT/Lists/RASCI  POC
Tru Fusion (CAD Data transfer);Engineering Applications;Tru Fusion (CAD Data transfer);Application;-;-;-;I;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A;CAD;;Element;IT/Lists/RASCI  POC
WIAM (Material Database);Engineering Applications;WIAM (Material Database);Application;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Workspace Manager;Engineering Applications;Workspace Manager;Application;-;-;-;A;-;S;-;-;-;-;-;S;S;S;S;-;-;-;-;-;I;CAD;;Element;IT/Lists/RASCI  POC
Bensberg SBI;Global Business Applications;Bensberg SBI;Application;-;R;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
CAQ/PMM (Prüfmittelverwaltung);Global Business Applications;CAQ/PMM (Prüfmittelverwaltung);Application;-;-;-;-;-;-;-;-;-;-;-;S;S;S;S;S;S;S;-;-;-;;;Element;IT/Lists/RASCI  POC
CRM (Coconutbox);Global Business Applications;CRM (Coconutbox);Application;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A;Sales;;Element;IT/Lists/RASCI  POC
Docusign (Documentworkflow);Global Business Applications;Docusign (Documentworkflow);Application;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A;Konieczny, Radoslaw (PL);;Element;IT/Lists/RASCI  POC
GoBench;Global Business Applications;GoBench;Application;-;-;-;R;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A;Product Management, Quality;;Element;IT/Lists/RASCI  POC
K-People;Global Business Applications;K-People;Application;-;C;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A;HR (assign to group K-People);Link to Application;Element;IT/Lists/RASCI  POC
Mobisys;Global Business Applications;Mobisys;Application;I;-;-;-;-;-;-;-;-;-;-;-;-;-;I;-;-;-;I;-;-;;;Element;IT/Lists/RASCI  POC
myBusiness.AI (Layer Audit);Global Business Applications;myBusiness.AI (Layer Audit);Application;-;-;-;-;-;-;-;-;-;-;-;S;S;S;-;C;C;C;-;-;A;;;Element;IT/Lists/RASCI  POC
P4T/Jaggaer (Purchasing);Global Business Applications;P4T/Jaggaer (Purchasing);Application;-;-;-;C;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A;;;Element;IT/Lists/RASCI  POC
PiWeb;Global Business Applications;PiWeb;Application;-;-;-;-;-;-;-;-;-;-;-;S;S;S;-;-;-;-;S;S;A;Quality Planning;;Element;IT/Lists/RASCI  POC
Quality System;Global Business Applications;Quality System;Application;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;I;I;I;I;-;-;;;Element;IT/Lists/RASCI  POC
Thingworks (DiGi-middleware);Global Business Applications;Thingworks (DiGi-middleware);Application;-;-;-;R;-;-;C;-;-;-;-;-;-;-;-;I;I;I;-;-;A;;;Element;IT/Lists/RASCI  POC
TTS (e-learning) / Knowledge Force;Global Business Applications;TTS (e-learning) / Knowledge Force;Application;-;C;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A;HR (assign to group TTS);;Element;IT/Lists/RASCI  POC
WEB-EDI;Global Business Applications;WEB-EDI;Application;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
xFlow (Invoice Management);Global Business Applications;xFlow (Invoice Management);Application;-;R;-;S;-;-;-;-;-;-;-;S;-;-;-;-;-;-;-;-;A;Administration (assign to group X-Flow);;Element;IT/Lists/RASCI  POC
ASSP-Spamfilter;IT Security;ASSP-Spamfilter;Application;-;-;-;-;-;I;C;-;A;I;I;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
ISMS - Information Security Management System;IT Security;ISMS - Information Security Management System;Application;-;-;-;-;-;I;-;-;-;-;A;C;C;C;C;I;I;I;I;-;-;;;Element;IT/Lists/RASCI  POC
TMG (Mailgateway);IT Security;TMG (Mailgateway);Application;-;-;-;-;-;-;C;-;A;I;I;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Trend Micro;IT Security;Trend Micro;Application;-;-;-;-;-;I;A;-;C;I;I;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
I-Doit (IT-Documentation Tool);IT-Service Applications;I-Doit (IT-Documentation Tool);Application;-;-;-;-;-;C;A;C;C;-;-;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
MDM-Mobile Device Management;IT-Service Applications;MDM-Mobile Device Management;Application;-;-;-;-;-;A;-;-;C;-;-;S;S;S;S;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Mobicontrol;IT-Service Applications;Mobicontrol;Application;-;-;-;-;-;A;-;-;C;-;-;R;S;S;S;I;I;I;I;-;-;;;Element;IT/Lists/RASCI  POC
Servicedesk Plus (Ticketsystem);IT-Service Applications;Servicedesk Plus (Ticketsystem);Application;I;I;I;I;-;R;I;I;I;I;A;I;I;I;I;I;I;I;I;-;-;;;Element;IT/Lists/RASCI  POC
Servicedesk Plus Processes;IT-Service Applications;Servicedesk Plus Processes;Application;I;I;I;I;-;I;I;I;C;I;A;I;I;I;I;I;I;I;I;-;-;;;Element;IT/Lists/RASCI  POC
Softwaredeployment - Packaging;IT-Service Applications;Softwaredeployment - Packaging;Application;-;-;-;-;-;A;-;-;-;-;-;S;I;I;S;-;-;-;-;-;S;CAD;;Element;IT/Lists/RASCI  POC
Softwaredeployment (Empirum/SCCM) - Admin;IT-Service Applications;Softwaredeployment (Empirum/SCCM) - Admin;Application;-;-;-;-;-;A;C;-;-;-;-;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Teamviewer;IT-Service Applications;Teamviewer;Application;-;-;-;-;-;A;-;-;C;-;-;I;I;I;I;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Clarity;Local Business Applications;Clarity;Application;-;-;-;-;-;-;-;-;-;-;-;-;-;-;S;-;-;-;-;-;A;CA HR / Payroll;;Element;IT/Lists/RASCI  POC
defective material notice (DMN);Local Business Applications;defective material notice (DMN);Application;C;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
Dovico Timesheet (Timemanagement);Local Business Applications;Dovico Timesheet (Timemanagement);Application;-;-;-;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;Element;IT/Lists/RASCI  POC
HR One;Local Business Applications;HR One;Application;-;-;-;-;-;-;-;-;-;-;-;S;-;-;-;-;-;-;-;-;A;China HR / Payroll;;Element;IT/Lists/RASCI  POC
