Title;Category;Subcategory;Local Infr. / Apps ME;Local Infr. / Apps EE;Local Infr. / Apps SE;Local Infr. / Apps KANA;
UPS;Datacenter;UPS;R;R;R;R;RRRR
Opentrust;IT Security;Opentrust;S;S;S;S;SSSS
OpenVAS;IT Security;OpenVAS;I;I;I;I;IIII
Security/Reporting Tools;IT Security;Security/Reporting Tools;I;I;I;I;IIII
CCTV;Local Business Applications;CCTV;S;S;S;S;SSSS
Fortinet Router/FW;Network;Fortinet Router/FW;I;S;S;-;ISS-
Fortinet VPN;Network;Fortinet VPN;S;S;S;-;SSS-
NAC (Network Access Control) – CISCO ISE;Network;NAC (Network Access Control) – CISCO ISE;S;S;S;S;SSSS
Remote Access / Dial In;Network;Remote Access / Dial In;S;-;S;-;S-S-
Switches;Network;Switches;S;S;S;-;SSS-
Telephonesystem;Network;Telephonesystem;S;S;S;-;SSS-
Videoconference System;Network;Videoconference System;S;S;S;-;SSS-
WAN-services;Network;WAN-services;I;S;S;-;ISS-
WiFi;Network;WiFi;S;S;S;-;SSS-
Active Directory;Serverapplications;Active Directory;S;S;S;S;SSSS
DHCP;Serverapplications;DHCP;S;S;S;S;SSSS
DNS;Serverapplications;DNS;S;S;S;S;SSSS
Fileserver;Serverapplications;Fileserver;S;S;S;S;SSSS
Linux (Suse/Redhat/CentOS/Ubuntu);Serverapplications;Linux (Suse/Redhat/CentOS/Ubuntu);S;S;S;S;SSSS
Microsoft Windows Server;Serverapplications;Microsoft Windows Server;S;S;S;S;SSSS
Printserver;Serverapplications;Printserver;S;S;S;S;SSSS
VMWare;Serverapplications;VMWare;S;S;S;S;SSSS
Webproxy;Serverapplications;Webproxy;S;S;S;S;SSSS
Access-Monitoring-Tool;System Monitoring;Access-Monitoring-Tool;I;I;I;I;IIII
Check-MK;System Monitoring;Check-MK;S;S;S;S;SSSS
Lansweeper/jDisc (Asset-Inventory);System Monitoring;Lansweeper/jDisc (Asset-Inventory);I;I;I;I;IIII
WSUS;System Monitoring;WSUS;I;I;I;I;IIII
Zabbix;System Monitoring;Zabbix;-;S;I;-;-SI-
Fortiauthenticator (FAC);Network;Fortiauthenticator (FAC);I;S;S;-;ISS-
